"href","nom","photo","bloc","groupe_id","liste","region","sexe","age","profession","siege"
"elus/Hedi_Soula.html","Hedi Soula","/2014/uploads/images/Hedi_Soula.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Kairouan","Hommes","56","Cadre supérieur dans la fonction publique","61"
"elus/Karima_Taggaz.html","Karima  Taggaz","/2014/uploads/images/photo_1.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","France 1","Femmes","34","","33"
"elus/Nawel_Tayech.html","Nawel Tayech","/2014/uploads/images/Nawel_Tayech.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Sousse","Femmes","31","Fonctionnaire dans le secteur privé","248"
"elus/Faycel_Tebini.html","Faycel Tebini","/2014/uploads/images/tebini faycel.thumb50.png","Aucun bloc","Aucun_bloc","La voix des agriculteurs","Jendouba","Hommes","51","Fonctionnaire dans le secteur privé","165"
"elus/Houda_Tekaya.html","Houda Tekaya","/2014/uploads/images/Houda_Tekaya.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","La Manouba","Femmes","54","Fonctionnaire dans le secteur privé","280"
"elus/Rim_Thairi.html","Rim Thairi","/2014/uploads/images/Rim_Thairi.thumb50.png","Bloc Démocrate","Bloc_Démocrate","Courant de l'amour","Kairouan","Femmes","36","Etudiant","164"
"elus/Mohamed_Nejib_Torjmane.html","Mohamed Nejib Torjmane","/2014/uploads/images/Mohamed Nejib_Torjmane.thumb50.png","Bloc Al Horra du Mouvement Machrouu Tounes","Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes","Mouvement Nidaa Tounes","La Manouba","Hommes","65","Fonctionnaire dans le secteur privé","252"
"elus/Sofien_Toubel.html","Sofien Toubel","/2014/uploads/images/Sofien_Toubel.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Gafsa","Hommes","41","Enseignant du secondaire","143"
"elus/Radhia_Toumi.html","Radhia Toumi","/2014/uploads/images/Radhia_Toumi.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Gabès","Femmes","35","Médecin ","133"
"elus/Mohamed_Troudi.html","Mohamed Troudi","/2014/uploads/images/Mohamed_Troudi.thumb50.png","Bloc Al Horra du Mouvement Machrouu Tounes","Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes","Mouvement Nidaa Tounes","Ben Arous","Hommes","45","Fonctionnaire dans le secteur privé","204"
"elus/Dorra_Yaacoubi.html","Dorra Yaacoubi","/2014/uploads/images/yaacoubi dorra.thumb50.png","Union Patriotique Libre","Union_Patriotique_Libre","Union Patriotique Libre","Jendouba","Femmes","34","Enseignant universitaire","114"
"elus/Hssine_Yahyaoui.html","Hssine Yahyaoui","/2014/uploads/images/Hssine_Yahyaoui.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Tataouine","Hommes","63","Cadre supérieur dans la fonction publique","99"
"elus/Lilia_Younes_Ksibi.html","Lilia Younes Ksibi","/2014/uploads/images/younes ksibi lilia.thumb50.png","Afek Tounes et l'appel des tunisiens à l'étranger","Afek_Tounes_et_lappel_des_tunisiens_à_létranger","Afek Tounes","Nabeul 1","Femmes","0","","117"
"elus/Leila_Zahaf.html","Leila Zahaf","/2014/uploads/images/Leila_Zahaf.thumb50.png","Bloc Al Horra du Mouvement Machrouu Tounes","Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes","Mouvement Nidaa Tounes","Zaghouan","Femmes","58","Enseignant universitaire","203"
"elus/Nadia_Zangar.html","Nadia Zangar","/2014/uploads/images/Nadia_Zangar.thumb50.png","Bloc Al Horra du Mouvement Machrouu Tounes","Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes","Mouvement Nidaa Tounes","Nabeul 1","Femmes","53","Médecin ","282"
"elus/Souad_Zaouali.html","Souad Zaouali","/2014/uploads/images/Souad_Zaouali.thumb50.png","Aucun bloc","Aucun_bloc","Mouvement Nidaa Tounes","Mahdia","Femmes","61","Cadre supérieur dans la fonction publique","142"
"elus/Ridha_Zghondi.html","Ridha Zghondi","/2014/uploads/images/zghondi ridha.thumb50.png","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Union Patriotique Libre","Zaghouan","Hommes","55","Avocat","257"
"elus/Yamina_Zoghlami.html","Yamina Zoghlami","/2014/uploads/images/Yamina_Zoghlami.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Tunis 1","Femmes","47","Enseignant du secondaire","277"
"elus/Hafedh_Zouari.html","Hafedh Zouari","/2014/uploads/images/zouari hafedh.thumb50.png","Afek Tounes et l'appel des tunisiens à l'étranger","Afek_Tounes_et_lappel_des_tunisiens_à_létranger","Afek Tounes","Sousse","Hommes","54","Chef d'entreprise","45"
"elus/Amira_Zoukari.html","Amira Zoukari","","Mouvement Nidaa Tounes","Mouvement_Nidaa_Tounes","Mouvement Nidaa Tounes","Ben Arous","Femmes","0","","65"
"elus/Mohamed_Zrig.html","Mohamed Zrig","/2014/uploads/images/Mohamed_Zrig.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Gabès","Hommes","60","Cadre dans le secteur privé","230"
"elus/Leila_%d9%90Chettaoui_Bougatef.html","Leila ِChettaoui Bougatef","/2014/uploads/images/Leila_Bougatef.thumb50.png","Bloc Al Horra du Mouvement Machrouu Tounes","Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes","Mouvement Nidaa Tounes","Tunis 2","Femmes","50","Cadre supérieur dans le secteur privé","199"
