href,nom,photo,bloc,groupe_id,liste,region,sexe,age,profession,siege
elus/Abderraouf_El_May,Abderraouf El May,./2014/uploads/images/El May.thumb50.png,Aucun bloc,Aucun_bloc,Mouvement Nidaa Tounes,Arab countries and rest of the world,Male,58,Manager (Private Sect),200
elus/Zohra_Idriss,Zohra Idriss,./2014/uploads/images/Zohra_Idriss.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Sousse,Female,58,Entrepreneur,64
elus/Zouhair_Rejbi,Zouhair Rejbi,./2014/uploads/images/Zouheir_Rajbi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Siliana,Male,58,Manager (public sect),32
elus/Leila_Zahaf,Leila Zahaf,./2014/uploads/images/Leila_Zahaf.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Zaghouan,Female,58,Professor,203
elus/Mohamed_Anouar_Adhar,Mohamed Anouar Adhar,./2014/uploads/images/adhar mohamed anouar.thumb50.png,Afek Tounes,Afek_Tounes_et_lappel_des_tunisiens_à_létranger,Afek Tounes,Sfax 2,Male,59,Engineer ,161
elus/Mohamed_Kamel_Besbes,Mohamed Kamel Besbes,./2014/uploads/images/Mohamed Kamel_Besbes.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Monastir,Male,59,Manager (public sect),233
elus/Noureddine_Bhiri,Noureddine Bhiri,./2014/uploads/images/Noureddine_Bhiri.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Ben Arous,Male,59,Lawyer,5
elus/Mohamed_Jalel_Ghedira,Mohamed Jalel Ghedira,./2014/uploads/images/Mohamed Jalel_Ghedira.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Monastir,Male,59,Retired,241
elus/Adnane_Hajji,Adnane Hajji,./2014/uploads/images/hajji adnane.thumb50.png,Aucun bloc,Aucun_bloc,"Liste indépendante ""Rad El Itibar""",Gafsa,Male,59,Primary Teacher,46
elus/Souhail_Alouini,Souhail Alouini,./2014/uploads/images/Souhail_Alouini.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Kairouan,Male,60,Docteur ,152
elus/Walid_Banneni,Walid Banneni,./2014/uploads/images/Walid_Banneni.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Kasserine,Male,60,Employee,62
elus/Abdennaceur_Chouikh,Abdennaceur Chouikh,./2014/uploads/images/Abdennaceur_Chouikh.thumb50.png,Aucun bloc,Aucun_bloc,Mouvement Nidaa Tounes,Tunis 1,Male,60,Manager (Private Sect),149
elus/Jilani_Hammami,Jilani Hammami,./2014/uploads/images/hammami jilani.thumb50.png,Popular Front,Front_Populaire,Popular Front,Siliana,Male,60,Employee,15
elus/Lotfi_Nabli,Lotfi Nabli,./2014/uploads/images/Lotfi_Nabli.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Monastir,Male,60,Professor,195
elus/Mohamed_Zrig,Mohamed Zrig,./2014/uploads/images/Mohamed_Zrig.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Gabès,Male,60,Manager (Private sect),230
elus/Chafik_Ayadi,Chafik Ayadi,./2014/uploads/images/Chafik_Ayadi.thumb50.png,Popular Front,Front_Populaire,Popular Front,Sfax 1,Male,61,Teacher,74
elus/Abdelmoumen_Belanes,Abdelmoumen Belanes,./2014/uploads/images/belanes abdelmoumen.thumb50.png,Popular Front,Front_Populaire,Popular Front,Monastir,Male,61,Daily Worker,112
elus/Khemais_Ksila,Khemais Ksila,./2014/uploads/images/Khemais_Ksila.thumb50.png,Aucun bloc,Aucun_bloc,Mouvement Nidaa Tounes,Nabeul 2,Male,61,Civil Servant,105
elus/Mohamed_Mahjoub,Mohamed Mahjoub,./2014/uploads/images/Mohamed_Mahjoub.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Ben Arous,Male,61,Docteur ,227
elus/Souad_Zaouali,Souad Zaouali,./2014/uploads/images/Souad_Zaouali.thumb50.png,Aucun bloc,Aucun_bloc,Mouvement Nidaa Tounes,Mahdia,Female,61,Manager (public sect),142
elus/Mondher_Belhaj_Ali,Mondher Belhaj Ali,./2014/uploads/images/Mondher_Belhaj Ali.thumb50.png,Bloc National,Bloc_National,Mouvement Nidaa Tounes,La Manouba,Male,62,Professor,70
elus/Bochra_Belhaj_Hamida,Bochra Belhaj Hamida,./2014/uploads/images/Bochra_Belhaj Hamida.thumb50.png,Bloc National,Bloc_National,Mouvement Nidaa Tounes,Tunis 2,Female,62,Lawyer,71
elus/Fathi_Chamkhi,Fathi Chamkhi,./2014/uploads/images/Fathi_Chamkhi.thumb50.png,Popular Front,Front_Populaire,Popular Front,Nabeul 2,Male,62,Professor,155
elus/Mohamed_Ghannem,Mohamed Ghannem,./2014/uploads/images/Mohamed_Ghannem.thumb50.png,Afek Tounes,Afek_Tounes_et_lappel_des_tunisiens_à_létranger,Afek Tounes,France 1,Male,62,Docteur ,162
elus/Kamel_Harraghi,Kamel Harraghi,./2014/uploads/images/harraghi kamel.thumb50.png,Free Patriotic Union,Union_Patriotique_Libre,Free Patriotic Union,Le Kef,Male,62,Civil Servant,159
elus/Ali_Laraiedh,Ali Laraiedh,./2014/uploads/images/Ali_Laraiedh.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Tunis 1,Male,62,Engineer ,180
elus/Mustapha_Ben_Ahmed,Mustapha Ben Ahmed,./2014/uploads/images/Mustapha_Ben Ahmed.thumb50.png,Bloc National,Bloc_National,Mouvement Nidaa Tounes,Tunis 2,Male,63,Civil Servant,256
elus/Ali_Bennour,Ali Bennour,./2014/uploads/images/Ali_Bennour.thumb50.png,Afek Tounes,Afek_Tounes_et_lappel_des_tunisiens_à_létranger,Afek Tounes,Monastir,Male,63,Artist,116
elus/Mohamed_El_Hamdi,Mohamed El Hamdi,./2014/uploads/images/Mohamed_El Hamdi.thumb50.png,Democratic Bloc,Bloc_Démocrate,Courant de l'amour,Sidi Bouzid,Male,63,Primary Teacher,166
elus/Hssine_Yahyaoui,Hssine Yahyaoui,./2014/uploads/images/Hssine_Yahyaoui.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Tataouine,Male,63,Manager (public sect),99
elus/Tarek_Barrak,Tarek Barrak,./2014/uploads/images/Tarek_Barrak.thumb50.png,Popular Front,Front_Populaire,Popular Front,Kairouan,Male,64,Retired,111
elus/Mohamed_Ben_Salem,Mohamed Ben Salem,./2014/uploads/images/Mohamed_Ben Salem.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Zaghouan,Male,64,Engineer ,229
elus/Mohamed_Amine_Kahloul,Mohamed Amine Kahloul,./2014/uploads/images/kahloul mohamed amine.thumb50.png,Free Patriotic Union,Union_Patriotique_Libre,Free Patriotic Union,Gabès,Male,64,Retired,160
elus/Ahmed_Saidi,Ahmed Saidi,./2014/uploads/images/saidi ahmed.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Parti l'initiative,Sousse,Male,64,Docteur ,119
elus/Ahmed_Ameri,Ahmed Ameri,./2014/uploads/images/Ahmed_Ameri.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Medenine,Male,65,Retired,7
elus/Mohamed_Ali_Bedoui,Mohamed Ali Bedoui,./2014/uploads/images/Mohamed Ali_Bedoui.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Kebili,Male,65,Retired,232
elus/Ridha_Charfeddine,Ridha Charfeddine,./2014/uploads/images/Ridha_Charfeddine.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Sousse,Male,65,Entrepreneur,106
elus/Abderraouf_Cherif,Abderraouf Cherif,./2014/uploads/images/Abderraouf_Cherif.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Tozeur,Male,65,Docteur ,12
elus/Brahim_Nacef,Brahim Nacef,./2014/uploads/images/Brahim_Nacef.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Bizerte,Male,65,Pharmacist,39
elus/Mohamed_Nejib_Torjmane,Mohamed Nejib Torjmane,./2014/uploads/images/Mohamed Nejib_Torjmane.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,La Manouba,Male,65,Employee,252
elus/Hedi_Ben_Braham,Hedi Ben Braham,./2014/uploads/images/Hedi_Ben Braham.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Mahdia,Male,66,Professor,60
elus/Mohamed_Sidhom,Mohamed Sidhom,./2014/uploads/images/Mohamed_Sidhom.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Nabeul 1,Male,66,Retired,231
elus/Abada_Kefi,Abada Kefi,./2014/uploads/images/Abada_Kefi.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Le Kef,Male,67,Lawyer,154
elus/Mohamed_Rachdi_Bouguerra,Mohamed Rachdi Bouguerra,./2014/uploads/images/Rachdi Bouguerra.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Kasserine,Male,68,Retired,251
elus/Bechir_Ben_Amor,Bechir Ben Amor,./2014/uploads/images/ben amor bechir.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Medenine,Male,69,Entrepreneur,37
elus/Mohamed_Hedi_Gueddich,Mohamed Hedi Gueddich,./2014/uploads/images/Mohamed Hedi_Gueddich.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Sfax 1,Male,69,Retired,239
elus/Hmed_Khaskhoussi,Hmed Khaskhoussi,./2014/uploads/images/Hmed_Khaskhoussi.thumb50.png,Aucun bloc,Aucun_bloc,Mouvement des Démocrates Socialistes,Sidi Bouzid,Male,69,Professor,120
elus/Abdelfattah_Mourou,Abdelfattah Mourou,./2014/uploads/images/Abdelfattah_Mourou.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Tunis 2,Male,69,Lawyer,292
elus/Mohamed_Kamel_Hamzaoui,Mohamed Kamel Hamzaoui,./2014/uploads/images/Mohamed Kamel_Hamzaoui.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Kasserine,Male,73,Entrepreneur,244
elus/Moncef_Sellami,Moncef Sellami,./2014/uploads/images/Moncef_Sellami.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Sfax 2,Male,79,Entrepreneur,68
elus/Abderrazak_Chraiet,Abderrazak Chraiet,./2014/uploads/images/chraiet abderrazak.thumb50.png,Aucun bloc,Aucun_bloc,"Liste indépendante ""Majd Al Jarid""",Tozeur,Male,80,Entrepreneur,272
elus/Mohamed_Ennaceur,Mohamed Ennaceur,./2014/uploads/images/Mohamed_Ennaceur.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Mahdia,Male,83,Lawyer,293
elus/Ali_Ben_Salem,Ali Ben Salem,./2014/uploads/images/Ali_Ben Salem.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Bizerte,Male,85,Retired,191
