href,nom,photo,bloc,groupe_id,liste,region,sexe,age,profession,siege
elus/Mahbouba_Ben_Dhifallah,Mahbouba Ben Dhifallah,./2014/uploads/images/Mahbouba_Ben Dhifallah.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Kebili,Female,47,Manager (public sect),189
elus/Imed_Daimi,Imed Daimi,./2014/uploads/images/Imed_Daimi.thumb50.png,Democratic Bloc,Bloc_Démocrate,Congrès Pour la République,Medenine,Male,47,Engineer ,217
elus/Karim_Helali,Karim Helali,./2014/uploads/images/helali karim.thumb50.png,Afek Tounes,Afek_Tounes_et_lappel_des_tunisiens_à_létranger,Afek Tounes,Ariana,Male,47,Magistrate,44
elus/Mohamed_Ennaceur_Jbira,Mohamed Ennaceur Jbira,./2014/uploads/images/jbira mohamed ennaceur.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Kairouan,Male,47,Lawyer,250
elus/Taoufik_Jemli,Taoufik Jemli,./2014/uploads/images/jemli taoufik.thumb50.png,Free Patriotic Union,Union_Patriotique_Libre,Free Patriotic Union,Ben Arous,Male,47,Primary Teacher,43
elus/Abdelaziz_Kotti,Abdelaziz Kotti,./2014/uploads/images/Abdelaziz_Kotti.thumb50.png,Aucun bloc,Aucun_bloc,Mouvement Nidaa Tounes,Ariana,Male,47,Not Categorized,148
elus/Yamina_Zoghlami,Yamina Zoghlami,./2014/uploads/images/Yamina_Zoghlami.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Tunis 1,Female,47,Teacher,277
elus/El_Khansa_Ben_Harrath,El Khansa Ben Harrath,./2014/uploads/images/El Khansa_Ben Harrath.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Le Kef,Female,48,Engineer ,38
elus/Mohamed_Ramzi_Khmiss,Mohamed Ramzi Khmiss,./2014/uploads/images/Mohamed Ramzi_Khmiss.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Zaghouan,Male,48,Civil Servant,242
elus/Soulef_Ksantini,Soulef Ksantini,./2014/uploads/images/Soulef_Ksantini.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Sfax 1,Female,48,Teacher,137
elus/Ahmed_Mechergui,Ahmed Mechergui,./2014/uploads/images/Ahmed_Mechergui.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Jendouba,Male,48,Teacher,91
elus/Ramzi_Ben_Fraj,Ramzi Ben Fraj,./2014/uploads/images/Ramzi_Ben Fraj.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,America and rest of Europe,Male,49,Lawyer,134
elus/Rabha_Ben_Hassine,Rabha Ben Hassine,./2014/uploads/images/Rabha Ben Hassine.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Mahdia,Female,49,Teacher,110
